,0-25,26-34,35-39,40-54,55-59,60-64,65-69,70-74,75-79,80-85
15000,2.43,2.48,2.59,2.97,3.36,3.85,4.35,6.16,7.34,9.85
25000,2.51,2.68,2.83,3.25,3.41,4.29,5.24,7.34,9.32,11.62
50000,2.97,3.1,3.25,3.59,4.05,5.03,5.76,8.69,11.15,12.57
100000,3.69,3.98,4.17,5.24,5.65,6.6,7.5,10.91,14.16,14.41
150000,5.08,5.42,6.28,7.34,7.85,8.38,10.47,,,
