,4 days,10 days,18 days,30 days,60 days
60-64,147,214,312,375,898
65-69,179,265,459,581,1142
70-74,245,367,561,679,1591
75-79,384,597,867,1181,2460
80-84,575,918,1224,2179,4400
85+,677,1275,1632,2538,5620
