,4 days,10 days,18 days,30 days,60 days
0-25,45,67,102,146,295
26-39,47,72,110,157,319
40-54,51,82,117,172,368
55-59,65,102,128,199,421
60-64,77,103,134,214,464
65-69,94,122,194,319,564
70-74,143,167,215,391,773
75-79,184,312,388,683,1343
80-84,369,520,624,1160,2165
85+,453,734,884,1489,3036
