,1-17 days,18-30 days,31-60 days,61-90 days,91-120 days,121-150 days,151-212 days,213-365 days
60-64,8.87,9.21,9.75,9.89,10.43,10.48,11.96,12.2
65-69,10.7,11.41,11.7,12.76,14.26,14.66,15.96,16.49
70-74,14.36,15.48,16.19,16.86,18.18,18.54,21.72,21.89
75-79,23.81,25.24,25.24,26.33,27.57,28.98,31.27,33.01
80-84,43.49,43.86,45.77,45.98,49.31,49.43,49.57,49.98
85+,55.53,57.77,59.26,61.43,67.22,70.66,76.96,80.4
