,1-17 days,18-30 days,31-60 days,61-90 days,91-120 days,121-150 days,151-212 days,213-365 days
60-64,14.76,15.13,15.58,16.38,16.51,18.36,20.25,22.08
65-69,18.42,19.57,20.46,21.8,23.08,23.95,26.23,29.16
70-74,24.52,24.92,24.97,28.58,29.98,32.11,33.67,37.36
75-79,39.77,43.64,44.86,46.21,46.99,47.45,51.09,55.97
80-84,65.15,67.98,70.15,71.87,77.13,85.42,88.82,99.74
85+,88.45,90.37,94.76,99.22,100.85,103.55,104.24,106.38
